Timestamp,X,Y
4825,403,334
4842,400,327
4859,394,321
4875,389,316
4892,385,313
4909,383,310
4973,381,307
4989,375,301
5006,374,298
5023,373,291
5040,370,280
5056,366,267
5072,364,255
5088,364,247
5105,364,244
5121,364,242
5138,364,241
5155,364,240
5223,365,239
5240,366,239
5257,367,239
5274,369,240
5290,371,242
5307,372,243
5324,373,244
5341,374,245
5455,374,246
5472,374,247
5488,377,251
5504,377,252
5521,377,253
5555,378,254
5968,378,255
5985,381,257
6002,386,258
6018,392,259
6034,397,261
6050,405,262
6066,417,266
6083,433,271
6100,451,276
6117,473,282
6133,482,284
6150,487,286
6166,489,288
6183,492,291
6200,499,295
6217,507,298
6233,517,301
6250,523,303
6267,528,306
6284,530,307
6301,531,308
6317,532,309
6333,535,312
6350,537,314
6366,539,316
6383,541,317
6466,542,318
6482,542,320
6498,542,323
6515,542,328
6532,542,332
6548,541,338
6565,539,344
6582,539,347
6599,539,351
6616,538,352
6633,538,355
6650,538,358
6666,538,361
6682,538,363
6698,539,368
6714,539,371
6730,542,375
6746,543,379
6763,544,381
6780,545,384
6796,549,388
6813,553,392
6829,557,396
6846,559,398
6863,560,401
6879,562,402
6895,563,403
6945,565,404
6962,567,406
6994,569,407
7010,571,408
7026,573,409
7059,575,409
7075,578,409
7091,582,409
7107,586,409
7124,590,409
7141,593,409
7158,595,409
7173,596,409
7205,598,411
7272,600,412
7589,599,411
8573,597,411
8969,596,410
9018,595,409
9051,595,407
9067,595,406
9083,595,405
9099,594,404
9115,593,400
9149,593,396
9165,593,395
9181,593,392
9197,591,389
9214,591,386
9231,591,382
9247,591,377
9263,591,375
9280,591,371
9297,590,368
9314,590,365
9331,590,361
9347,591,359
9363,594,354
9380,598,349
9397,604,341
9413,607,338
9430,614,328
9447,616,323
9463,619,315
9480,623,306
9497,628,297
9514,633,290
9531,636,285
9547,638,280
9563,641,275
9579,643,272
9596,644,268
9613,648,259
9630,652,250
9647,655,241
9663,657,236
9680,659,234
9697,659,232
9714,659,231
9748,660,230
9764,661,229
9780,662,228
9797,662,226
9814,662,222
9830,662,221
9846,663,219
9880,663,217
9897,663,216
9914,663,215
9930,663,214
9946,663,212
9962,664,211
9978,664,210
9994,664,209
10010,666,205
10027,666,202
10044,667,199
10077,667,195
10094,667,194
10111,668,192
10127,668,191
10144,668,190
10160,668,189
10176,668,185
10193,668,184
10210,668,181
10226,668,180
10242,668,179
10258,668,177
10274,667,174
10290,666,171
10307,665,168
10324,665,165
10341,664,160
10358,664,157
10374,664,154
10390,663,151
10406,663,150
10540,663,149
10557,661,146
10723,660,145
11796,659,143
11893,659,142
11960,659,141
12090,658,140
12237,658,141
12253,657,143
12302,656,143
12401,655,144
