Timestamp,X,Y
6154,150,446
6171,150,442
6188,150,438
6205,150,434
6221,150,430
6238,150,426
6254,150,422
6270,150,418
6286,150,414
6302,150,410
6319,150,406
6336,150,402
6352,150,398
6368,150,394
6385,150,390
6402,154,386
6419,158,382
6435,162,378
6451,166,378
6468,170,378
6485,174,378
6502,178,378
6519,182,378
6535,186,378
6552,190,378
6568,194,378
6584,198,378
6600,202,378
6616,206,378
6632,210,378
6648,214,378
6664,218,378
6681,222,378
6697,226,378
6714,230,378
6730,234,378
6746,238,378
6763,242,378
6780,246,378
6797,250,378
6813,254,378
6829,258,378
6845,262,378
6861,266,378
6877,270,378
6894,274,378
7239,274,374
7255,274,370
7272,274,366
7288,274,362
7304,274,358
7320,274,354
7337,274,350
7353,274,346
7369,274,342
7386,274,338
7402,274,334
7418,274,330
7435,274,326
7452,274,322
7468,274,318
7485,274,314
7502,274,310
8311,278,310
8327,282,310
8344,286,310
8361,290,310
8378,294,310
8395,298,310
8412,302,310
8428,306,310
8445,310,310
8462,314,310
8479,318,310
8495,322,310
8511,326,310
8576,326,306
8594,326,302
8610,326,298
8626,326,294
8643,326,290
8659,326,286
8676,326,282
8693,326,278
8710,326,274
8726,326,270
8743,326,266
8760,326,262
8777,326,258
8794,326,254
8810,326,250
8826,326,246
8843,326,242
8860,326,238
8875,326,234
8892,326,230
8908,330,226
8924,334,222
8940,338,218
8957,342,214
8974,346,210
8990,350,206
9007,354,202
9023,358,198
9040,362,198
9057,366,198
9074,370,198
9090,374,198
9106,378,198
11693,382,198
11709,386,198
11726,390,198
11743,394,198
11759,398,198
11776,402,198
11792,406,198
11809,410,198
11826,414,198
11842,418,198
11858,422,198
11874,426,198
11890,430,198
14071,430,202
14087,430,206
14104,430,210
14121,430,214
14137,430,218
14153,430,222
14169,430,226
14186,430,230
14203,430,234
14219,430,238
14235,430,242
14251,430,246
14268,430,250
14284,430,254
14300,430,258
14317,430,262
14332,430,266
14348,430,270
